frame,cx,cy,diam
1628,806.0,432.9,22.4
1630,576.3,272.7,13.0
1632,783.0,284.7,12.5
1634,674.6,391.9,14.8
1636,811.0,239.0,8.2
1638,751.0,315.7,18.4
1640,611.8,326.1,11.4
1642,830.8,370.0,11.0
1644,827.7,324.3,8.5
1646,679.4,173.1,7.3
1648,649.4,458.5,7.0
1650,722.1,373.1,14.1
1652,247.0,136.7,15.8
1654,382.1,179.4,12.3
1656,553.2,168.8,16.0
1658,455.7,237.6,15.8
1660,665.2,209.9,13.6
1662,963.4,300.4,14.1
1664,439.9,122.4,10.3
1666,512.5,277.9,14.9
1668,694.3,377.3,10.0
1670,420.1,126.4,9.5
1672,690.0,234.3,24.5
1674,408.5,119.6,16.2
1676,415.6,123.7,15.9
1678,426.9,128.1,13.2
1680,437.1,134.0,13.2
1682,443.4,137.9,14.1
1684,450.5,140.6,11.4
1686,454.6,139.4,13.4
1688,463.3,136.1,11.9
1690,481.5,133.9,11.0
1692,506.3,133.5,11.2
1694,524.2,134.7,12.1
1696,399.0,334.2,16.3
1698,631.9,364.3,13.7
1700,615.5,358.9,11.4
1702,454.9,296.3,15.5
1704,307.7,321.8,14.8
1706,536.1,344.5,12.4
1708,858.2,293.8,15.3
1710,690.6,247.3,11.4
1712,276.6,165.1,10.9
1714,358.1,213.6,13.0
1716,692.8,339.0,10.8
1718,663.0,459.1,18.3
1720,506.4,462.2,13.2
1722,581.5,403.4,8.2
1724,259.9,409.4,13.2
1726,575.5,201.9,8.5
1728,921.2,360.2,9.5
1730,905.3,211.5,7.1
1732,854.8,191.1,10.3
1734,1039.8,255.6,14.7
1736,736.8,190.8,8.3
1738,685.4,199.8,13.6
1740,672.3,202.3,12.6
1742,669.8,203.7,12.7
1744,730.3,363.7,14.1
1746,747.3,387.8,16.3
1748,741.9,215.7,8.2
1750,771.5,208.1,8.2
1752,737.6,210.3,8.1
1754,1143.2,278.6,15.2
1756,1068.1,253.7,10.4
1758,881.6,177.8,8.5
1760,966.7,171.5,7.6
1762,1041.6,186.2,25.1
1764,424.4,412.3,16.9
1766,580.2,397.8,13.6
1768,621.6,371.8,15.3
1770,724.3,370.1,14.0
1772,722.0,353.1,12.2
1774,416.6,194.0,13.6
1776,478.4,206.0,13.7
1778,174.0,158.9,15.8
1780,727.5,395.3,17.5
