frame,x,y,dist_from_hoop_ft,shot_type,track_hits,track_score
84,775.3222222222222,261.58888888888885,0.7099761066804411,2PT,6,0.6969049559746815
94,503.0341365461847,422.21485943775093,0.3734999267918965,2PT,21,0.5251802194260774
84,76.34108527131782,409.9912790697674,0.7156527541088039,2PT,24,0.6754985036375507
104,522.2954876273653,311.9457787481805,0.24552690096397908,2PT,23,0.7201536050803876
112,602.9549549549549,344.5855855855856,0.4141717927837557,2PT,24,0.6877039179556947
104,669.9671361502348,414.3098591549296,0.593435143986205,2PT,18,0.5826949342878635
88,9.0,580.0,1.0041352272973272,2PT,13,0.75
88,564.4298850574712,355.99310344827586,0.3595934263984125,2PT,17,0.5522636166380817
94,112.0,455.0,0.6984150975990736,2PT,9,0.6695562652170935
88,185.79874213836476,415.3207547169811,0.5366726278011039,2PT,27,0.41644483776937147
106,451.1375661375661,388.2010582010582,0.2727291619438143,2PT,20,0.7792680233231758
100,561.6138211382113,435.609756097561,0.45967106503693445,2PT,15,0.7090164395012513
112,473.449494949495,396.7143658810325,0.30346499497370244,2PT,18,0.7327066045780005
102,716.6352859135285,481.15271966527195,0.7414634978160016,2PT,13,0.6844032398294783
92,581.6553287981859,534.7755102040817,0.6394241978283998,2PT,6,0.525
100,126.05940594059406,527.7062706270626,0.7662868153372083,2PT,9,0.5587044273660519
106,1136.0666666666666,287.0952380952381,1.4122160776198853,2PT,12,0.6625417637070876
102,1210.2166666666665,370.10238095238094,1.5711049984355066,2PT,10,0.6087143580099473
128,155.05215419501133,316.46938775510205,0.5100187948943627,2PT,22,0.41035779670453965
100,21.0,687.9224806201549,1.1323065356638666,2PT,8,0.458513760412164
98,579.1683449522334,323.26800929512007,0.35518212331826116,2PT,18,0.4514138778491474
98,3.106060606060606,717.3560606060605,1.1981609105479707,2PT,6,0.75
106,528.6684491978609,486.475935828877,0.507147658830086,2PT,10,0.3814120428673343
116,620.2357723577235,386.0,0.4823315372561457,2PT,14,0.46568186169510295
116,415.4242424242424,338.30698287220025,0.1641476003748561,2PT,12,0.7013887741520157
126,209.38117283950615,611.6265432098764,0.796737935803104,2PT,16,0.6932572387666096
122,549.7456140350877,601.3552631578947,0.7274848963939253,2PT,13,0.6390955277566837
114,862.8828125,254.83854166666666,0.8799551595976539,2PT,9,0.5574898302053418
134,464.5520833333333,176.81770833333331,0.18364262815279522,2PT,19,0.4890816460388977
184,1025.4411764705883,252.84313725490193,1.1958075073134018,2PT,44,0.39994920969570813
120,433.0,657.0,0.7843052991511477,2PT,12,0.7237664681858641
116,257.7706349206349,673.3738095238095,0.8668681670082011,2PT,16,0.6284551509041215
120,403.0,642.0,0.7540086901410241,2PT,11,0.693921602042473
118,550.0,348.0,0.3276485206978964,2PT,8,0.7278586402904528
122,677.2345679012345,265.3033509700176,0.5197024211524988,2PT,10,0.5776428556689315
128,160.87450199203187,375.71314741035854,0.5387333715046982,2PT,13,0.6357053982323777
118,28.174129353233827,449.5074626865672,0.8334884472329496,2PT,13,0.3702730429511605
122,516.5,343.0,0.2696737902722776,2PT,8,0.701055906153189
122,190.67391304347825,592.7608695652174,0.7841244323534857,2PT,8,0.5051937406979242
120,415.11111111111103,650.4423480083857,0.7703535505152083,2PT,6,0.75
148,422.3922902494331,498.3015873015873,0.4752895476341314,2PT,19,0.6896089378758709
122,301.09859154929575,329.1220657276995,0.25705629221498993,2PT,8,0.3700046017653955
134,119.58585858585857,443.4520202020202,0.6737283023290455,2PT,11,0.5943954069376427
128,143.34259259259258,562.4814814814814,0.792276885433624,2PT,8,0.5464313576899466
128,201.0,369.5,0.4639725909462756,2PT,8,0.6645425274015843
126,329.7,307.7,0.18769651303687426,2PT,6,0.5018313730758458
148,117.63636363636364,211.63636363636363,0.5739966618980084,2PT,16,0.7128564986849769
136,86.33333333333333,386.52777777777777,0.6795623414119637,2PT,11,0.6167507766735062
132,1197.7883597883597,544.3227513227513,1.631312019988021,2PT,7,0.6460217514120302
136,1067.7210884353742,376.0022675736961,1.299755134794095,2PT,6,0.7371614785129558
138,220.74509803921566,115.6392156862745,0.4555140361528164,2PT,6,0.7091500623618532
154,1212.0523138832998,522.2501676727029,1.6432426476983042,2PT,12,0.46273392280262887
146,542.9416666666666,315.3,0.2844441246590238,2PT,6,0.4229380606465949
184,1140.6695652173912,407.75652173913045,1.4507875724801946,2PT,25,0.49854976113134297
152,930.1123188405796,496.55434782608694,1.115070742035396,2PT,12,0.37194434177074925
224,1136.1620262954368,173.92652745552977,1.419488694934449,2PT,43,0.4645291727926623
154,1149.901179941003,219.30973451327435,1.4392110622532162,2PT,24,0.46175143747493597
152,365.7956989247312,358.9820788530465,0.2213257501902945,2PT,6,0.7462634825164517
158,959.5141585760517,494.1816343042071,1.1652411662700335,2PT,12,0.47689239666293315
152,1194.7407407407406,216.4320987654321,1.5265015615728361,2PT,7,0.40927586343881817
