track_id,frame,cx,cy,conf
216,1667,837.0,398.0,0.58
216,1669,821.0,432.0,0.81
217,1667,617.0,366.0,0.38
217,1669,692.0,381.0,0.331
218,1671,307.0,331.0,0.321
218,1673,358.0,364.0,0.318
218,1674,361.0,388.0,0.547
218,1675,389.0,386.0,0.503
219,1687,368.0,337.0,0.274
219,1690,444.0,317.0,0.265
220,1696,741.0,364.0,0.466
220,1697,742.0,364.0,0.446
221,1705,477.0,351.0,0.537
221,1707,434.0,353.0,0.37
222,1712,748.0,275.0,0.457
222,1715,648.0,302.0,0.622
223,1740,485.0,429.0,0.255
223,1742,460.0,384.0,0.274
223,1744,412.0,334.0,0.289
224,1756,807.0,376.0,0.595
224,1761,955.0,338.0,0.453
225,1762,666.0,218.0,0.519
225,1763,682.0,211.0,0.329
225,1766,679.0,254.0,0.493
226,1768,934.0,348.0,0.397
226,1770,970.0,386.0,0.85
227,1771,295.0,232.0,0.467
227,1772,260.0,223.0,0.264
228,1774,105.0,321.0,0.419
228,1777,119.0,310.0,0.261
229,1777,747.0,193.0,0.69
229,1778,746.0,192.0,0.348
229,1779,749.0,195.0,0.301
230,1782,894.0,254.0,0.478
230,1784,896.0,323.0,0.332
230,1786,949.0,308.0,0.409
231,1784,151.0,337.0,0.531
231,1786,171.0,351.0,0.407
232,1800,952.0,302.0,0.707
232,1804,920.0,318.0,0.349
233,1805,595.0,260.0,0.387
233,1813,615.0,323.0,0.321
233,1816,629.0,322.0,0.304
234,1817,915.0,463.0,0.699
234,1818,904.0,460.0,0.441
234,1819,900.0,441.0,0.69
235,1822,887.0,254.0,0.477
235,1823,859.0,258.0,0.408
236,1827,330.0,358.0,0.586
236,1828,362.0,335.0,0.671
236,1829,355.0,342.0,0.407
237,1830,840.0,336.0,0.492
237,1831,840.0,337.0,0.502
237,1836,906.0,349.0,0.23
238,1839,296.0,391.0,0.361
238,1843,401.0,348.0,0.582
238,1844,429.0,355.0,0.493
239,1844,583.0,268.0,0.481
239,1848,602.0,401.0,0.507
240,1852,505.0,267.0,0.549
240,1853,498.0,256.0,0.359
241,1860,883.0,396.0,0.411
241,1869,885.0,248.0,0.309
242,1870,537.0,213.0,0.329
242,1877,599.0,341.0,0.276
243,1883,403.0,429.0,0.607
243,1884,397.0,430.0,0.366
244,1885,1179.0,355.0,0.472
244,1886,1186.0,360.0,0.321
