frame,x1,y1,x2,y2,conf
288,367.53,405.77,382.43,432.05,0.533
289,375.43,410.94,390.14,437.2,0.533
290,383.33,416.12,397.84,442.35,0.534
291,391.23,421.29,405.55,447.5,0.534
292,399.13,426.47,413.25,452.65,0.535
293,407.03,431.64,420.95,457.8,0.535
294,428.53,427.9,442.6,454.46,0.536
295,450.04,424.15,464.25,451.12,0.536
296,471.54,420.41,485.89,447.78,0.536
297,493.05,416.66,507.54,444.44,0.536
298,514.55,412.92,529.19,441.1,0.537
299,536.06,409.17,550.84,437.77,0.537
300,557.56,405.43,572.48,434.43,0.537
301,579.07,401.68,594.13,431.09,0.537
302,600.57,397.94,615.78,427.75,0.538
303,622.08,394.19,637.42,424.41,0.538
304,643.58,390.45,659.07,421.07,0.538
305,665.09,386.7,680.72,417.74,0.538
306,686.59,382.96,702.36,414.4,0.539
307,708.09,379.22,724.01,411.06,0.539
308,729.6,375.47,745.66,407.72,0.539
309,751.1,371.73,767.3,404.38,0.539
310,772.61,367.98,788.95,401.04,0.54
311,794.11,364.24,810.6,397.71,0.54
312,815.62,360.49,832.25,394.37,0.54
313,837.12,356.75,853.89,391.03,0.54
314,848.89,346.67,865.46,379.41,0.551
315,860.66,336.59,877.04,367.79,0.562
316,872.43,326.52,888.61,356.17,0.573
317,884.2,316.44,900.18,344.55,0.584
318,895.97,306.36,911.75,332.94,0.595
319,907.74,296.28,923.32,321.32,0.606
320,919.51,286.21,934.9,309.7,0.617
321,931.28,276.13,946.47,298.08,0.628
322,915.68,277.89,930.87,300.29,0.603
323,900.07,279.65,915.27,302.5,0.577
324,884.47,281.41,899.67,304.72,0.552
325,868.87,283.17,884.07,306.93,0.527
326,853.27,284.93,868.47,309.14,0.501
327,869.18,292.96,884.37,317.25,0.502
328,885.08,301.0,900.27,325.36,0.503
329,900.99,309.03,916.16,333.47,0.503
330,916.9,317.07,932.06,341.58,0.504
331,932.8,325.1,947.96,349.69,0.505
332,948.71,333.14,963.85,357.8,0.505
333,964.62,341.17,979.75,365.91,0.506
334,980.52,349.2,995.64,374.02,0.507
335,996.43,357.24,1011.54,382.13,0.507
336,1012.33,365.27,1027.44,390.24,0.508
337,1028.24,373.31,1043.33,398.35,0.509
338,1044.15,381.34,1059.23,406.45,0.509
339,1019.68,379.99,1034.72,405.1,0.515
340,995.22,378.63,1010.22,403.74,0.52
341,970.75,377.27,985.71,402.38,0.525
342,946.28,375.92,961.2,401.02,0.53
343,921.82,374.56,936.7,399.67,0.536
344,897.35,373.21,912.19,398.31,0.541
345,872.89,371.85,887.69,396.95,0.546
346,848.42,370.5,863.18,395.6,0.551
347,823.96,369.14,838.67,394.24,0.557
348,799.49,367.78,814.17,392.88,0.562
349,775.03,366.43,789.66,391.52,0.567
350,750.56,365.07,765.15,390.17,0.572
351,726.09,363.72,740.65,388.81,0.578
352,701.63,362.36,716.14,387.45,0.583
353,677.16,361.01,691.64,386.09,0.588
354,652.7,359.65,667.13,384.74,0.593
355,628.23,358.29,642.62,383.38,0.599
356,603.77,356.94,618.12,382.02,0.604
357,579.3,355.58,593.61,380.66,0.609
358,554.83,354.23,569.1,379.31,0.614
359,530.37,352.87,544.6,377.95,0.62
360,505.9,351.52,520.09,376.59,0.625
361,481.44,350.16,495.59,375.23,0.63
362,456.97,348.8,471.08,373.88,0.635
363,432.51,347.45,446.57,372.52,0.641
364,408.04,346.09,422.07,371.16,0.646
365,383.58,344.74,397.56,369.8,0.651
366,359.11,343.38,373.05,368.45,0.656
367,334.64,342.03,348.55,367.09,0.662
368,310.18,340.67,324.04,365.73,0.667
369,322.13,342.31,336.05,367.03,0.658
370,334.08,343.94,348.05,368.33,0.648
371,346.02,345.58,360.06,369.63,0.639
372,357.97,347.22,372.06,370.93,0.629
373,369.92,348.85,384.07,372.23,0.62
374,381.87,350.49,396.08,373.53,0.611
375,393.82,352.13,408.08,374.83,0.601
376,405.77,353.76,420.09,376.13,0.592
377,417.71,355.4,432.09,377.43,0.582
378,429.66,357.04,444.1,378.73,0.573
379,441.61,358.67,456.1,380.02,0.563
380,453.56,360.31,468.11,381.32,0.554
381,465.51,361.95,480.11,382.62,0.545
382,485.53,366.85,500.21,387.78,0.553
383,505.55,371.76,520.31,392.93,0.562
384,525.57,376.67,540.4,398.09,0.57
385,545.59,381.57,560.5,403.24,0.578
386,565.61,386.48,580.59,408.4,0.587
387,585.63,391.39,600.69,413.55,0.595
388,605.65,396.29,620.79,418.71,0.604
389,625.67,401.2,640.88,423.86,0.612
390,645.69,406.11,660.98,429.01,0.621
391,665.71,411.01,681.07,434.17,0.629
392,685.72,415.92,701.17,439.32,0.638
393,705.74,420.83,721.26,444.48,0.646
394,725.76,425.73,741.36,449.63,0.655
395,745.78,430.64,761.46,454.79,0.663
396,765.8,435.55,781.55,459.94,0.671
397,785.82,440.45,801.65,465.1,0.68
398,805.84,445.36,821.74,470.25,0.688
399,825.86,450.27,841.84,475.41,0.697
400,845.88,455.17,861.93,480.56,0.705
401,834.19,450.55,850.2,475.81,0.7
402,822.5,445.93,838.46,471.06,0.695
403,810.81,441.31,826.72,466.31,0.69
404,799.12,436.68,814.98,461.56,0.686
405,787.43,432.06,803.24,456.81,0.681
406,775.74,427.44,791.51,452.06,0.676
