frame,x1,y1,x2,y2,conf
274,256.95,333.31,274.58,359.97,0.525
275,256.09,304.08,271.94,329.71,0.581
276,255.24,274.84,269.31,299.46,0.637
277,264.17,284.07,278.23,308.77,0.631
278,273.09,293.29,287.15,318.09,0.625
279,282.02,302.51,296.07,327.4,0.619
280,290.95,311.74,304.99,336.71,0.613
281,299.88,320.96,313.91,346.03,0.607
282,308.81,330.18,322.83,355.34,0.601
283,317.74,339.41,331.75,364.66,0.595
284,326.67,348.63,340.67,373.97,0.589
285,335.6,357.85,349.59,383.28,0.583
286,344.53,367.08,358.51,392.6,0.577
287,353.46,376.3,367.43,401.91,0.571
288,362.38,385.52,376.35,411.23,0.565
289,371.31,394.75,385.27,420.54,0.559
290,380.24,403.97,394.19,429.85,0.553
291,389.17,413.2,403.11,439.17,0.547
292,398.1,422.42,412.03,448.48,0.541
293,407.03,431.64,420.95,457.8,0.535
294,453.62,420.59,467.71,445.6,0.593
295,500.2,409.53,514.46,433.4,0.65
296,546.79,398.48,561.22,421.21,0.707
297,593.37,387.43,607.97,409.01,0.764
298,639.96,376.37,654.73,396.82,0.821
299,668.66,365.93,683.44,386.79,0.823
300,697.37,355.48,712.15,376.77,0.825
301,726.07,345.04,740.86,366.75,0.827
302,754.77,334.6,769.56,356.73,0.829
303,783.48,324.15,798.27,346.71,0.831
304,812.18,313.71,826.98,336.68,0.832
305,840.88,303.26,855.69,326.66,0.834
306,869.59,292.82,884.4,316.64,0.836
307,898.29,282.38,913.11,306.62,0.838
308,926.99,271.93,941.82,296.6,0.84
309,955.7,261.49,970.53,286.57,0.842
310,926.05,285.3,941.37,312.69,0.767
311,896.41,309.12,912.21,338.8,0.691
312,866.77,332.93,883.05,364.92,0.616
313,837.12,356.75,853.89,391.03,0.54
314,848.89,346.67,865.46,379.41,0.551
315,860.66,336.59,877.04,367.79,0.562
316,872.43,326.52,888.61,356.17,0.573
317,884.2,316.44,900.18,344.55,0.584
318,895.97,306.36,911.75,332.94,0.595
319,907.74,296.28,923.32,321.32,0.606
320,919.51,286.21,934.9,309.7,0.617
321,931.28,276.13,946.47,298.08,0.628
322,915.68,277.89,930.87,300.29,0.603
323,900.07,279.65,915.27,302.5,0.577
324,884.47,281.41,899.67,304.72,0.552
325,868.87,283.17,884.07,306.93,0.527
326,853.27,284.93,868.47,309.14,0.501
327,829.43,300.31,844.86,325.04,0.506
328,805.58,315.69,821.24,340.95,0.511
329,781.74,331.07,797.63,356.85,0.516
330,757.89,346.45,774.01,372.75,0.521
